X,Y,id,nama,npsn,ptk,ptk_laki,ptk_perempuan,pegawai,pegawai_laki,pegawai_perempuan,pd,pd_laki,pd_perempuan,rombel,kabupaten,kode_kabupaten,provinsi,kode_provinsi,alamat,status,jenjang,akreditasi,source,location_status
0,0,"374903",SPS IT SERINDANG BULAN,"70004933",1,0,1,2,0,2,0,0,0,0,Lebong,"1707",Bengkulu,"17",Jl. Raya Tubei - Arga Makmur Komplek Mesjid Agung Sultan Mahmud Abdullah Islamic,swasta,SPS,,kemdikbud,not-mapped
102.1774,-3.0152,"374909",SMPN 14 LEBONG,"10703083",14,4,10,3,3,0,85,44,41,4,Lebong,"1707",Bengkulu,"17",Tanjung Agung,negeri,SMP,C,kemdikbud,valid
0,0,"374910",TPA BUNDA GHANIA,"70012055",1,0,1,0,0,0,0,0,0,0,Lebong,"1707",Bengkulu,"17",Desa Garut Kecamatan Amen,swasta,TPA,,kemdikbud,not-mapped
0,0,"374911",TK MENTARI,"69792456",0,0,0,1,0,1,16,9,7,1,Lebong,"1707",Bengkulu,"17",Jl.H.Raden Karna Kompek BTN Griya Asri indah,swasta,TK,C,kemdikbud,not-mapped
0,0,"374915",SPS PAUD ANANDA,"70031104",1,0,1,1,0,1,40,27,13,2,Lebong,"1707",Bengkulu,"17",Desa garut Kecamatan Amen,swasta,SPS,,kemdikbud,not-mapped
102.2069,-3.1188,"374918",SMAS PGRI AMEN,"10701983",4,1,3,2,0,2,32,27,5,3,Lebong,"1707",Bengkulu,"17",JL. RAYA KOTA AGUNG,swasta,SMA,C,kemdikbud,valid
0,0,"374919",PKBM AL ANSORI,P9999418,5,4,1,3,2,1,83,31,52,3,Lebong,"1707",Bengkulu,"17",Sukau Mergo,swasta,PKBM,,kemdikbud,not-mapped
0,0,"374920",KB BIYOA U EM,"69792448",2,0,2,1,0,1,5,4,1,2,Lebong,"1707",Bengkulu,"17",TUAN KEBOA,swasta,KB,C,kemdikbud,not-mapped
0,0,"374921",KB BUNDA,"69792523",0,0,0,1,0,1,16,6,10,1,Lebong,"1707",Bengkulu,"17",MOHAMMAD HATTA,swasta,KB,C,kemdikbud,not-mapped
0,0,"374922",TK HARAPAN BANGSA,"69974817",2,0,2,2,0,2,14,6,8,2,Lebong,"1707",Bengkulu,"17",DESA LEMEU,swasta,TK,C,kemdikbud,not-mapped
102.0783,-2.8274,"374927",SDN 13 LEBONG,"10701920",17,8,9,4,1,3,84,43,41,6,Lebong,"1707",Bengkulu,"17",Lemeu,negeri,SD,C,kemdikbud,valid
0,0,"374934",KB TUNAS BANGSA,"70044013",2,0,2,1,1,0,14,11,3,1,Lebong,"1707",Bengkulu,"17",DESA SUNGAI LISAI,swasta,KB,,kemdikbud,not-mapped
102.1113,-3.0245,"374937",SDN 08 LEBONG,"10701914",10,2,8,3,1,2,105,58,47,6,Lebong,"1707",Bengkulu,"17",Tambang Saweak,negeri,SD,C,kemdikbud,valid
102.0272,-2.8092,"374941",SMPN 03 LEBONG,"10701993",14,4,10,5,2,3,111,69,42,6,Lebong,"1707",Bengkulu,"17",Air Kopras,negeri,SMP,B,kemdikbud,valid
102.2677,-3.238,"424647",SDN 64 LEBONG,"10702030",8,4,4,2,2,0,49,27,22,6,Lebong,"1707",Bengkulu,"17",Desa Mangkurajo,negeri,SD,C,kemdikbud,valid
102.3536,-3.2556,"424652",SMPN 11 LEBONG,"10702005",12,4,8,3,1,2,65,35,30,3,Lebong,"1707",Bengkulu,"17",Mangkurajo,negeri,SMP,B,kemdikbud,valid
102.3058,-3.1965,"424655",SMKN 3 LEBONG,"10703080",56,29,27,15,7,8,353,259,94,22,Lebong,"1707",Bengkulu,"17",Desa Tik Jeniak Kecamatan Lebong Selatan Kabupaten Lebong,negeri,SMK,B,kemdikbud,valid
0,0,"424659",NAIAM BATON,"69919442",4,0,4,1,0,1,41,16,25,3,Lebong,"1707",Bengkulu,"17",JL. Kampung Jawa,swasta,TK,C,kemdikbud,not-mapped
0,0,"424663",TK GEMBIRA,"69974279",4,0,4,0,0,0,22,9,13,2,Lebong,"1707",Bengkulu,"17",DESA TALANG ULU,swasta,TK,C,kemdikbud,not-mapped
114.421127,-5.443757,"424665",KB BUNDA ATTAHZIEB,"69792449",1,0,1,1,0,1,1,1,0,1,Lebong,"1707",Bengkulu,"17",KIPATIH NO 49,swasta,KB,C,kemdikbud,invalid
102.194159,-3.109548,"424666",KB MAMBANGSARI,"69792442",0,0,0,1,0,1,24,14,10,2,Lebong,"1707",Bengkulu,"17",MY SINGADIKANE,swasta,KB,C,kemdikbud,valid
102.200218,-3.117403,"424668",KB MANDIRI,"69792462",4,0,4,1,0,1,31,13,18,2,Lebong,"1707",Bengkulu,"17",Jalan Desa Gandung Baru Desa Gandung Baru Lebong Utara,swasta,KB,C,kemdikbud,valid
0,0,"424670",SPS GEMBIRA,"69974278",3,0,3,1,0,1,53,27,26,2,Lebong,"1707",Bengkulu,"17",DESA TALANG ULU,swasta,SPS,C,kemdikbud,not-mapped
102.4453329,-3.2943755,"424676",SDN 26 LEBONG,"10701941",9,2,7,1,0,1,41,15,26,6,Lebong,"1707",Bengkulu,"17",Desa Tik Kuto,negeri,SD,C,kemdikbud,valid
102.232,-3.1482,"424684",SDN 21 LEBONG,"10701934",11,3,8,3,0,3,104,51,53,6,Lebong,"1707",Bengkulu,"17",Suka Damai,negeri,SD,B,kemdikbud,valid
0,0,"424689",TK AL-FATHAN,"70044042",2,0,2,1,0,1,11,6,5,1,Lebong,"1707",Bengkulu,"17",DESA TIK TEBING,swasta,TK,,kemdikbud,not-mapped
102.17154,-3.1693767,"424692",SMPN 21 LEBONG,"10703224",21,4,17,1,1,0,142,81,61,6,Lebong,"1707",Bengkulu,"17",Desa Sukau Kayo,negeri,SMP,B,kemdikbud,valid
102.1675483,-3.160795,"424694",SMK ISLAM TERPADU (IT) MUHAMMAD AL FATIH,"69989750",5,3,2,1,1,0,19,11,8,3,Lebong,"1707",Bengkulu,"17",Jl. Jalur dua Komplek Perkantoran,swasta,SMK,C,kemdikbud,valid
106.8021,-6.2255,"424696",TK NEGERI TAPUS,"10703363",4,0,4,6,1,5,58,23,35,4,Lebong,"1707",Bengkulu,"17",Jalan Raya Topos - Talang Baru I,negeri,TK,C,kemdikbud,invalid
102.4159,-3.2519,"424697",SDN 88 LEBONG,"69965729",10,6,4,3,2,1,27,13,14,6,Lebong,"1707",Bengkulu,"17",DESA TALANG DONOK KEC. TOPOS,negeri,SD,C,kemdikbud,valid
0,0,"424699",TK NANDA CERIA,"69975628",2,0,2,3,1,2,31,16,15,2,Lebong,"1707",Bengkulu,"17",DESA BUNGIN,swasta,TK,B,kemdikbud,not-mapped
102.1702,-3.0943,"424703",SDN 73 LEBONG,"10702040",14,3,11,5,2,3,217,104,113,9,Lebong,"1707",Bengkulu,"17",Bungin,negeri,SD,B,kemdikbud,valid
102.2945,-3.1826,"424706",SMPN 19 LEBONG,"10703093",18,2,16,3,2,1,89,51,38,3,Lebong,"1707",Bengkulu,"17","Jalan Serban Kuning, Desa Karang Dapo Atas",negeri,SMP,C,kemdikbud,valid
