Jenis Komoditas,2021,2022,2023,2024,2025
Kelapa Sawit,74,75,75,75,75
Kelapa ,187,188,187,187,164
Karet,1.225,1.247,1.238,1.24,1.507
Kopi Robusta,5.103,5.157,5.205,5.266,5.311
Kakao,166,167,167,167,167
Cengkeh,1,1,1,1,1
Pala,19,19,19,19,19
